"customer_id","gender","age","married","state","number_of_referrals","tenure_in_months","value_deal","phone_service","multiple_lines","internet_service","internet_type","online_security","online_backup","device_protection_plan","premium_support","streaming_tv","streaming_movies","streaming_music","unlimited_data","contract","paperless_billing","payment_method","monthly_charge","total_charges","total_refunds","total_extra_data_charges","total_long_distance_charges","total_revenue","customer_status","churn_category","churn_reason"
"19877-DEL","Male",35,"No","Delhi",7,27,"None","Yes","No","Yes","Cable","No","Yes","No","Yes","Yes","No","No","Yes","One Year","Yes","Credit Card",65.60,593.30,0.00,0.00,381.51,974.81,"Stayed","Others","Others"
"58353-MAH","Female",45,"Yes","Maharashtra",14,13,"None","Yes","Yes","Yes","Cable","No","No","No","No","No","Yes","Yes","No","Month-to-Month","No","Credit Card",51.25,542.40,38.33,10.00,96.21,610.28,"Stayed","Others","Others"
"25063-WES","Male",51,"No","West Bengal",4,35,"Deal 5","Yes","No","Yes","Fiber Optic","No","No","Yes","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",73.90,280.85,0.00,0.00,134.60,415.45,"Churned","Competitor","Competitor had better devices"
"59787-KAR","Male",79,"No","Karnataka",3,21,"Deal 4","Yes","No","Yes","Fiber Optic","No","Yes","Yes","No","Yes","Yes","No","Yes","Month-to-Month","Yes","Bank Withdrawal",98.00,1237.85,0.00,0.00,361.66,1599.51,"Churned","Dissatisfaction","Product dissatisfaction"
"28544-TAM","Female",80,"No","Tamil Nadu",3,8,"None","Yes","No","Yes","Fiber Optic","No","No","No","Yes","Yes","No","No","Yes","Month-to-Month","Yes","Credit Card",83.90,267.40,0.00,0.00,22.14,289.54,"Churned","Dissatisfaction","Network reliability"
"32750-TEL","Male",24,"No","Telangana",9,2,"Deal 5","Yes","No","Yes","Cable","No","No","No","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Credit Card",69.40,571.45,0.00,0.00,150.93,722.38,"Stayed","Others","Others"
"84741-MAH","Female",66,"Yes","Maharashtra",9,23,"Deal 1","Yes","No","Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal",109.70,7904.25,0.00,0.00,707.16,8611.41,"Stayed","Others","Others"
"65618-GUJ","Male",51,"Yes","Gujarat",12,24,"Deal 2","Yes","Yes","Yes","Fiber Optic","Yes","No","No","Yes","No","No","No","No","Two Year","Yes","Credit Card",84.65,5377.80,0.00,20.00,816.48,6214.28,"Stayed","Others","Others"
"64233-GUJ","Female",63,"No","Gujarat",4,10,"Deal 5","Yes","No","Yes","DSL","Yes","No","No","No","No","No","No","Yes","Two Year","Yes","Bank Withdrawal",48.20,340.35,0.00,0.00,73.71,414.06,"Stayed","Others","Others"
"23612-UTT","Female",41,"No","Uttar Pradesh",3,6,"None","Yes","Yes","Yes","Cable","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card",90.45,6410.15,0.00,0.00,1849.90,8260.05,"Stayed","Others","Others"
"45397-RAJ","Male",48,"Yes","Rajasthan",0,1,"None","No","No","Yes","Cable","Yes","No","No","Yes","Yes","No","No","Yes","Two Year","No","Credit Card",45.20,2460.55,0.00,0.00,0.00,2460.55,"Stayed","Others","Others"
