"customer_id","gender","age","married","state","number_of_referrals","tenure_in_months","value_deal","phone_service","multiple_lines","internet_service","internet_type","online_security","online_backup","device_protection_plan","premium_support","streaming_tv","streaming_movies","streaming_music","unlimited_data","contract","paperless_billing","payment_method","monthly_charge","total_charges","total_refunds","total_extra_data_charges","total_long_distance_charges","total_revenue","customer_status","churn_category","churn_reason"
"93520-GUJ","Female",67,"No","Gujarat",13,19,"Deal 5","Yes","Yes","Yes","Fiber Optic","No","No","No","No","No","No","No","Yes","One Year","Yes","Bank Withdrawal",72.10,72.10,0.00,0.00,7.77,79.87,"Joined","Others","Others"
"57256-BIH","Female",18,"No","Bihar",9,7,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.85,57.20,0.00,0.00,9.36,66.56,"Joined","Others","Others"
"84687-PUN","Female",31,"No","Punjab",0,18,"Deal 5","No","No","Yes","Cable","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",24.70,24.70,0.00,70.00,0.00,94.70,"Joined","Others","Others"
"72357-MAD","Female",53,"No","Madhya Pradesh",14,12,"Deal 5","Yes","No","Yes","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card",44.30,44.30,0.00,0.00,42.95,87.25,"Joined","Others","Others"
"66612-KAR","Female",58,"Yes","Karnataka",11,18,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.95,58.00,0.00,0.00,8.07,66.07,"Joined","Others","Others"
"22119-WES","Male",31,"Yes","West Bengal",5,5,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",20.05,33.70,0.00,0.00,3.62,37.32,"Joined","Others","Others"
"79168-UTT","Female",78,"No","Uttar Pradesh",2,10,"Deal 5","Yes","No","Yes","Cable","No","No","No","No","No","No","No","Yes","One Year","Yes","Bank Withdrawal",44.30,89.30,0.00,0.00,47.82,137.12,"Joined","Others","Others"
"66712-GUJ","Female",47,"Yes","Gujarat",6,33,"Deal 5","Yes","No","Yes","Fiber Optic","No","Yes","No","No","No","Yes","Yes","Yes","Month-to-Month","No","Bank Withdrawal",84.30,235.05,0.00,0.00,41.16,276.21,"Joined","Others","Others"
"53815-BIH","Female",36,"No","Bihar",2,4,"Deal 3","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.70,19.70,0.00,0.00,34.28,53.98,"Joined","Others","Others"
"34110-MAH","Female",20,"Yes","Maharashtra",6,3,"None","Yes","Yes","Yes","Cable","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",50.10,50.10,0.00,0.00,29.13,79.23,"Joined","Others","Others"
"12056-WES","Male",27,"No","West Bengal",2,20,"None","Yes","No","Yes","Fiber Optic","No","Yes","Yes","No","No","Yes","Yes","Yes","Month-to-Month","No","Bank Withdrawal",90.40,268.45,0.00,0.00,94.44,362.89,"Joined","Others","Others"
"82129-JHA","Female",26,"No","Jharkhand",9,8,"Deal 5","Yes","No","Yes","DSL","No","Yes","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Credit Card",58.70,168.60,0.00,0.00,34.41,203.01,"Joined","Others","Others"
"27880-AND","Male",48,"No","Andhra Pradesh",14,21,"None","Yes","Yes","No","None","No","No","No","No","No","No","No","No","Two Year","Yes","Credit Card",26.40,121.25,0.00,0.00,101.61,222.86,"Joined","Others","Others"
"39764-UTT","Female",39,"Yes","Uttar Pradesh",5,14,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.35,46.35,0.00,0.00,88.68,135.03,"Joined","Others","Others"
"29626-WES","Male",67,"No","West Bengal",10,22,"Deal 5","Yes","No","Yes","DSL","Yes","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal",50.15,50.15,0.00,50.00,38.33,138.48,"Joined","Others","Others"
"47133-ODI","Female",60,"Yes","Odisha",15,8,"None","Yes","No","Yes","Cable","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal",44.60,122.70,0.00,0.00,46.77,169.47,"Joined","Others","Others"
"62842-HAR","Male",33,"Yes","Haryana",11,25,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.30,44.40,0.00,0.00,99.82,144.22,"Joined","Others","Others"
"21288-MAH","Female",63,"No","Maharashtra",12,34,"None","Yes","Yes","Yes","DSL","No","No","No","No","Yes","No","No","No","Month-to-Month","Yes","Bank Withdrawal",60.25,170.50,0.00,70.00,60.30,300.80,"Joined","Others","Others"
"83994-DEL","Male",48,"Yes","Delhi",8,24,"None","Yes","No","Yes","Fiber Optic","No","No","No","No","Yes","Yes","Yes","Yes","Month-to-Month","No","Credit Card",90.70,237.65,0.00,0.00,16.17,253.82,"Joined","Others","Others"
"24754-AND","Female",63,"Yes","Andhra Pradesh",0,28,"None","Yes","No","Yes","Fiber Optic","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",69.55,200.20,33.80,0.00,5.01,171.41,"Joined","Others","Others"
"62497-BIH","Female",20,"No","Bihar",0,2,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card",20.75,67.10,0.00,0.00,49.17,116.27,"Joined","Others","Others"
"24990-WES","Female",36,"No","West Bengal",8,24,"None","Yes","No","Yes","Fiber Optic","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",71.65,135.75,0.00,0.00,58.06,193.81,"Joined","Others","Others"
"26500-GUJ","Female",62,"Yes","Gujarat",3,19,"Deal 5","Yes","No","Yes","Cable","Yes","No","No","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Mailed Check",62.15,113.10,0.00,0.00,96.78,209.88,"Joined","Others","Others"
"17796-BIH","Female",65,"No","Bihar",5,1,"None","Yes","No","Yes","Cable","Yes","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",48.45,48.45,0.00,0.00,16.42,64.87,"Joined","Others","Others"
"21956-JHA","Female",59,"Yes","Jharkhand",10,8,"None","Yes","No","Yes","Fiber Optic","Yes","No","No","Yes","No","No","No","No","Month-to-Month","Yes","Credit Card",82.30,214.40,0.00,20.00,134.91,369.31,"Joined","Others","Others"
"92198-DEL","Female",44,"Yes","Delhi",8,15,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card",20.25,20.25,0.00,0.00,28.18,48.43,"Joined","Others","Others"
